model,dataset,accuracy,precision,recall,f1,auc_roc,train_time_s,inference_time_ms_per_sample
CNN,mendeley,0.9404,0.8988,0.9478,0.9227,0.9871,78.1236,0.026353
LSTM,mendeley,0.9513,0.9122,0.9627,0.9367,0.9905,226.8932,0.087635
CNN-LSTM,mendeley,0.9487,0.9329,0.9302,0.9316,0.9876,87.7462,0.028769
